article_id,source_article_id,title,company_name_raw,company_name_resolved,company_id,published_date,published_year,published_quarter,published_month,category_raw,category_standardized,revenue_raw,revenue_currency,revenue_is_range,arr_usd,arr_parse_status,summary,url,author,word_count,industry,founded_year,headquarters,employee_count,is_public,stock_ticker,company_age,company_size_category
ART-77B8C33CF8A99CF7,ART0001,Scale AI Raises Series D Funding Round,Scale AI,Scale AI,COMP-3DA36D688D43678F,2020-02-21,2020,1,2,Financial Technology,FINTECH,,,False,,invalid_missing,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/1,John Smith,2569.0,AI/ML,2003,"Berlin, Germany",23379,False,,17,Medium
ART-6662498721EC5639,ART0002,DataRobot Announces Breakthrough in Large Language Models,DataRobot,DataRobot,COMP-7AD8A9012E991995,2023-02-23,2023,1,2,Software,SOFTWARE,"£244,094,488",GBP,False,310000000.0,valid,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/2,Alex Johnson,1878.0,Cloud Computing,2012,"New York, NY",23471,True,,11,Medium
ART-047C7594BA536E68,ART0003,Meta AI Raises Series D Funding Round,Meta AI,Meta AI,COMP-A5A4E8E5266709E9,2022-02-17,2022,1,2,Analytics,DATA_ANALYTICS,,,False,,invalid_missing,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/3,John Smith,1981.0,Data Analytics,2001,"Seattle, WA",20240,True,,21,Medium
ART-3C26D030611D991E,ART0004,Confluent Reports Record Revenue Growth,Confluent,Confluent,COMP-65AAA4A1B46C7F71,2023-12-13,2023,4,12,Artificial Intelligence,AI_ML,$980.0M,USD,False,980000000.0,valid,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/4,Sam Wilson,1994.0,Cloud Computing,1995,"London, UK",3884,False,,28,Small
ART-8F6C489AB453D3B1,ART0005,Amazon Web Services Acquires Competitor for Undisclosed Sum,Amazon Web Services,Amazon Web Services,COMP-D3E00D24B34937E8,2021-12-28,2021,4,12,Financial Technology,FINTECH,Not disclosed,,False,,invalid_missing,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/5,Alex Johnson,2781.0,SaaS,2015,"Berlin, Germany",27826,False,,6,Medium
ART-23A9065F44668E73,ART0006,NVIDIA Achieves Profitability Milestone,NVIDIA,NVIDIA,COMP-088472395B269710,2021-10-26,2021,4,10,FinTech,FINTECH,$16.800B,USD,False,16800000000.0,valid,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/6,,1788.0,AI/ML,2017,"London, UK",22031,False,,4,Medium
ART-407A458BAE9F4BA3,ART0007,Tesla Achieves Profitability Milestone,Tesla,Tesla,COMP-EFD12553D6A4F7E5,2022-10-19,2022,4,10,Security,CYBERSECURITY,75000.0M USD,USD,False,75000000000.0,valid,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/7,,1398.0,Cloud Computing,2008,"London, UK",5691,True,,14,Small
ART-6A416BB305E3BCB1,ART0008,Microsoft Releases Open Source Framework,Microsoft,Microsoft,COMP-11F3242118FF2ADD,2022-10-07,2022,4,10,Artificial Intelligence,AI_ML,,,False,,invalid_missing,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/8,Sam Wilson,2417.0,Data Analytics,2018,"Austin, TX",48646,False,,4,Large
ART-9ED0CCBF46966099,ART0009,MongoDB Expands into European Market,MongoDB,MongoDB,COMP-F0C6ACFF24BC7941,2023-02-07,2023,1,2,AI & ML,AI_ML,$1.480 billion,USD,False,1480000000.0,valid,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/9,Jane Doe,1578.0,SaaS,2008,"Austin, TX",16952,False,MONG,15,Medium
ART-03A5313A4D0BC07C,ART0010,MongoDB Launches New AI-Powered Product,MongoDB,MongoDB,COMP-F0C6ACFF24BC7941,2022-11-05,2022,4,11,Finance,FINTECH,"€1,254,545,455",EUR,False,1380000000.0,valid,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/10,,2672.0,SaaS,2008,"Austin, TX",16952,False,MONG,14,Medium
